Rank,State_Union_Territory,Population_2024
1,Uttar Pradesh,238078000
2,Maharashtra,128592000
3,Bihar,127528000
4,West Bengal,99563000
5,Madhya Pradesh,87610000
6,Tamil Nadu,81897000
7,Rajasthan,77089000
8,Karnataka,68115000
9,Gujarat,72367000
10,Andhra Pradesh,53340000
11,Odisha,46566000
12,Telangana,38272000
13,Kerala,35920000
14,Jharkhand,39963000
15,Assam,36047000
16,Punjab,30926000
17,Chhattisgarh,30524000
18,Haryana,30573000
19,Delhi (UT),21752000
20,Jammu and Kashmir (UT),13701000
21,Uttarakhand,11755000
22,Himachal Pradesh,7505000
23,Tripura,4184000
24,Meghalaya,3379000
25,Manipur,3253000
26,Nagaland,2253000
27,Goa,1583000
28,Arunachal Pradesh,1576000
29,Puducherry (UT),1391163
30,Mizoram,1250000
31,Chandigarh (UT),1243000
32,Sikkim,695000
33,Dadra & Nagar Haveli and Daman & Diu (UT),657587
34,Andaman & Nicobar Islands (UT),404000
35,Ladakh (UT),302000
36,Lakshadweep (UT),69000
